SSP2,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100
PRT,2448320,2665482,2865255,3082550,3272727,3355613,3344191,3315448,3286409,3260550,3237448,3228432,3249353,3270430,3295385,3325177
PRI,770264,821313,842771,843604,837127,817233,791386,778486,768322,756910,746725,738111,725234,702609,683917,666860
QAT,76241,149365,266313,442714,697099,1049163,1445761,1754429,1876957,1880467,1882272,1882019,1860373,1816049,1782260,1769281
KOR,10246363,12640948,14746934,16633674,17693186,18563136,18574193,18700695,18577244,17833110,16909713,16152386,15187753,13936348,12951620,12128565
MDA,446327,475974,468883,467218,479709,515512,571539,597802,587737,568536,563262,576337,599529,610904,611543,609186
REU,143081,175880,209042,233377,248797,258181,263655,269354,280904,302071,323623,346288,366640,388643,404488,416013
ROU,3672099,3675555,4002400,4279146,4556488,4636125,4770225,4656705,4484552,4338558,4275071,4234612,4282175,4332707,4314891,4279473
RUS,24476652,27119331,27893425,29241261,30938303,33576526,36710744,37463929,36448237,35766221,35960286,37422830,38789625,39223785,39407780,39604179
RWA,493633,598984,683334,795069,968417,1275464,1606431,1901132,2191050,2557263,2967014,3352289,3771612,4213317,4657195,5088877
BLM,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
SHN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
KNA,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
LCA,18285,22792,27790,32169,36021,40044,44187,48931,52629,54572,55533,55321,55104,54840,54672,54601
MAF,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
VCT,11707,14055,15881,17407,18909,20224,20871,21803,22491,22835,23262,23954,24379,24540,24611,24737
WSM,12904,15913,19045,22401,25726,28291,30736,34434,38061,42018,47287,53994,60787,66784,72522,78137
SMR,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
STP,9107,10877,12881,15532,19206,23450,26630,29631,33816,40648,49253,57762,65193,71809,77782,83149
SAU,1339124,2256647,3689283,5643881,8018492,10003650,11319212,12371404,12844942,13182837,13630593,14323649,15045825,15748634,16304436,16736132
SEN,591299,694257,845721,1054807,1336557,1684764,2085302,2520216,3004330,3590766,4303284,5127592,5977773,6816842,7660023,8505068
SRB,1472903,1540203,1606719,1684594,1789505,1875039,1945997,1981225,1977016,1981158,1961489,1978839,2006053,2030064,2053582,2075273
SYC,9896,12814,15463,18032,20746,22736,24360,25745,26298,26342,27146,28458,30139,31400,32328,33027
SLE,291753,343456,413219,495496,593349,709554,846509,1004487,1190663,1402416,1621718,1842050,2044702,2250418,2440648,2610590
SGP,1083559,1430330,1723482,1988493,2195163,2356002,2472241,2575266,2652407,2631896,2607719,2586070,2587668,2556248,2519943,2478613
SXM,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
SVK,1014380,1118123,1188183,1283392,1413042,1518743,1601475,1644597,1619633,1569058,1535520,1522676,1528552,1536827,1547690,1559253
SVN,467380,514589,556966,590212,628283,657600,673961,673093,665093,652179,651703,660947,668066,671373,674679,679658
SLB,27248,33607,42769,54321,66610,79990,94115,109590,128220,149567,174307,204196,235862,267475,296832,323406
SOM,507478,595046,703949,829632,991297,1203408,1446475,1707902,2094216,2545125,3072057,3718768,4513594,5431393,6521900,7728271
ZAF,3643472,4374840,5410780,6022232,6480264,7655435,9150150,10202633,10606815,10674058,11187692,11839149,12496232,12914951,13182127,13345672
SSD,347871,426268,523441,646418,766337,849958,868893,886814,959186,1177931,1422035,1711626,1877896,1956447,2080221,2268686
ESP,10253021,11659566,13252966,14931424,16567909,17542162,17948805,18088599,18022954,18024656,18249708,18485825,18642305,18612708,18607010,18589051
LKA,2760362,3229271,3631212,3996285,4405187,4848520,5109739,5399550,5696467,6079372,6514864,6879587,7127576,7266488,7345694,7394076
PSE,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
SDN,1838177,2206488,2533194,2923659,3531228,4463444,5525044,6589390,7653330,8735937,10012766,11572988,13425612,15217078,16861607,18288269
SUR,50650,63783,76956,89445,98851,111477,123095,133956,147347,162059,176003,188824,200860,212508,223216,232801
SWE,2220648,2403792,2616741,2799131,2945199,3121355,3365830,3631045,3762706,3893145,4074426,4271572,4431600,4522850,4614839,4721769
CHE,1809099,2093842,2377835,2587233,2758907,2945577,3116753,3242445,3309499,3363925,3449804,3560890,3666871,3742520,3815058,3885126
SYR,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
TJK,409844,558618,693246,825012,962579,1163034,1471253,1767056,2018139,2247401,2505720,2881716,3278667,3644957,3956458,4259893
THA,12212962,14815494,16990712,18466381,19322266,19994288,20218690,20314974,20315724,19800391,19296346,18861091,18170989,17436775,16746794,16119042
TLS,70550,74168,83077,95103,105900,123059,150245,183544,225719,273343,312675,339752,362015,380124,400167,420090
TGO,303629,363905,440478,536765,653406,783066,925526,1083035,1262123,1488029,1773863,2105168,2458463,2806537,3157732,3501295
TKL,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
TON,6961,7811,9329,10721,11922,13363,14574,15945,17469,19612,21775,24202,26386,28194,29893,31553
TTO,196146,239147,264573,289289,319780,362167,394712,405039,402969,398519,397113,398753,399698,399728,400168,401969
