SSP4,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100
MMR,37745479,38675524,39333510,39760740,40002461,39919992,39710838,39333087,39039666,38791417,38747988,38783288,38778383,38781106,38805070,38932674
NAM,1599635,1751575,1910959,2076620,2235863,2393212,2545394,2674572,2809112,2939240,3045176,3119735,3172346,3214271,3254616,3289333
NRU,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NPL,19890346,21152123,22284217,23489156,24505266,25236116,25690498,25714956,25525298,25350943,25410397,25562206,25744364,25833427,26008942,26311383
NLD,11145402,10839395,10501211,10223073,10087078,9888202,9582591,9221672,8877669,8514653,8172007,7810476,7446008,7097603,6729579,6356903
NCL,199507,206371,210068,210206,209984,207708,204274,201677,199154,193311,186152,177082,168119,160148,152447,144635
NZL,3338430,3365697,3382087,3360110,3353728,3313526,3231273,3134536,3061111,2982598,2874832,2745619,2619339,2510209,2394789,2271532
NIC,4688278,5035025,5336304,5603542,5831583,6015502,6133785,6162921,6196079,6266627,6359413,6445489,6529277,6600182,6670087,6752947
NER,14074618,17066330,20667724,25187599,30726862,37412040,45347516,54198607,64035788,74808082,86420611,98401595,110432669,122179461,133204290,143654886
NGA,126930470,145967381,166404347,189319768,215857432,246740061,282544732,321030097,361916263,403939574,447113225,490645180,534049224,576168398,615447779,650276235
NIU,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
MKD,1428187,1398148,1364217,1327167,1276789,1210605,1139417,1072904,1015366,964729,921240,869139,817186,764977,713401,664017
MNP,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NOR,3560625,3585191,3556228,3486789,3443439,3382705,3294689,3206960,3137768,3055826,2940807,2813072,2694381,2604101,2502635,2389397
OMN,3557265,3853616,4154240,4380156,4473513,4415845,4259140,4203235,4384136,4617564,4772815,4825785,4829479,4833407,4860509,4893843
PAK,148658624,166791660,184270079,204132064,225886147,248391044,270892520,292134736,313461506,334793948,357406546,379009137,400440741,418904243,434504889,448484841
PLW,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
PAN,2949307,3118388,3256667,3392984,3528586,3654617,3762743,3853741,3927448,3997967,4067939,4124550,4182450,4220718,4249243,4268514
PNG,6758198,7538161,8306328,9072434,9834877,10579935,11296837,11940710,12511798,12979710,13363907,13644222,13876847,14058472,14178442,14227172
PRY,4549341,4836539,5124504,5421880,5697531,5897431,6048649,6144890,6239313,6344554,6456404,6562359,6646592,6713129,6765953,6825622
PER,22783413,23933623,24781344,25485649,26075732,26506976,26704737,26744677,26802515,26925425,26996235,27136793,27357911,27494757,27613192,27765926
PHL,77536954,83707984,89345980,95003009,100714793,106364344,111607895,115889317,119655425,122940653,125601205,128179324,130838094,133050644,134756263,135874802
POL,25297262,24455067,23836722,22716211,21101932,19269180,17703477,16538439,15810617,15152667,14172801,13143668,12104159,11309527,10659042,10066889
PRT,6419302,6122636,5842717,5506015,5175736,4942949,4789118,4653193,4508969,4346206,4176101,4004589,3819947,3647591,3465486,3264291
PRI,1960415,1812162,1675398,1539027,1427277,1345137,1285031,1225435,1179440,1142806,1114151,1091735,1079464,1078076,1070206,1056294
QAT,2594448,2825709,3018376,3127186,3135867,3033248,2882308,2806739,2864366,2975041,3021749,3016596,2994895,2973837,2939354,2880158
KOR,35732574,33611121,31121802,28088079,25668018,23147733,21148842,18857491,16835235,15350551,14015019,12566875,11452205,10754644,9990357,9220775
MDA,1995444,1909759,1876401,1807748,1701909,1568000,1417751,1305518,1235009,1172863,1095448,1001512,904270,831067,776146,727369
REU,631342,641387,645067,654322,661340,666146,669864,670166,661382,640503,616646,590235,564061,535849,511697,489303
ROU,12182471,11820799,11201436,10538741,9710712,9018510,8263917,7765344,7332263,6885582,6375636,5871614,5322419,4847256,4492685,4184668
RUS,95498978,93851767,93681053,91078727,87209361,82115699,76652246,74043775,73219990,71540505,68427580,63734861,59207723,56044028,53349072,50564332
RWA,8572185,9659611,10825985,12071728,13334325,14552411,15815508,17083631,18356604,19565055,20771054,21919870,22960669,23797290,24456186,25026475
BLM,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
SHN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
KNA,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
LCA,130888,129076,126332,124145,122211,119558,116236,111767,108303,106611,105963,106294,106443,106207,105665,105086
MAF,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
VCT,68371,66899,65054,63081,60927,58945,57716,56167,55039,54420,53935,53417,53417,53684,54049,54414
WSM,130816,141564,151322,159903,168569,177873,187164,194251,201519,208095,213416,217422,221184,224932,228608,232464
SMR,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
STP,137712,155384,171722,188580,205843,223489,242304,260319,276725,289936,301462,311730,320987,328231,334238,339727
SAU,28272541,30242367,31509473,32204651,32234581,32427687,33040855,33540476,34273522,34944301,35451847,35719231,35990019,36095175,36113793,36029555
SEN,10370859,12067703,13813859,15682993,17699345,19891869,22247836,24665125,27096055,29464783,31800336,34070216,36323675,38430282,40251577,41775351
SRB,4628620,4484509,4349166,4182824,3973576,3771323,3570282,3408184,3283075,3144232,3022666,2857238,2677017,2507053,2342834,2182235
